a00;colera
p768;outras obstrucoes intestinais especificadas recem nascido
p769;obstrucao intestinal nao especificada recem nascido
p77;enterocolite necrotizante feto recem nascido
p78;outros transtornos aparelho digestivo periodo perinatal
p780;perfuracao intestinal periodo perinatal
p781;outras peritonites neonatais
p782;hematemese melena devidas degluticao sangue materno
p783;diarreia neonatal nao infecciosa
p788;outros transtornos perinatais especificados aparelho digestivo
p789;transtorno perinatal nao especificado aparelho digestivo
p80;hipotermia recem nascido
p800;sindrome lesao pelo frio
p808;outras hipotermias recem nascido
p809;hipotermia nao especificada recem nascido
p81;outros disturbios regulacao termica recem nascido
p810;hipertermia ambiental recem nascido
p818;outros disturbios especificados regulacao termica recem nascido
p819;disturbio nao especificado regulacao termica recem nascido
p83;outras afeccoes comprometendo tegumento especificas feto recem nascido
p830;esclerema neonatal
p831;eritema toxico neonatal
p832;hidropsia fetal nao devida doenca hemolitica
p833;outros edemas nao especificados proprios feto recem nascido
p834;intumescimento mamario recem nascido
p835;hidrocele congenita
p836;polipo umbilical recem nascido
p838;outras afeccoes especificadas tegumento proprias feto recem nascido
p839;afeccao nao especificada tegumento propria feto recem nascido
p90;convulsoes recem nascido
p91;outros disturbios funcao cerebral recem nascido
p910;isquemia cerebral neonatal
p911;cistos periventriculares adquiridos recem nascido
p912;leucomalacia cerebral neonatal
p913;irritabilidade cerebral neonatal
p914;depressao cerebral neonatal
p915;coma neonatal
p916;encefalopatia hipoxico isquemica recem nascido
p918;outros disturbios especificados funcao cerebral recem nascido
p919;disturbio nao especificado funcao cerebral recem nascido
p92;problemas alimentacao recem nascido
p920;vomitos recem nascido
p921;regurgitacao ruminacao recem nascido
p922;alimentacao vagarosa recem nascido
p923;subalimentacao recem nascido
p924;hiperalimentacao recem nascido
p925;dificuldade neonatal amamentacao peito
p928;outros problemas alimentacao recem nascido
p929;problema nao especificado alimentacao recem nascido
p93;reacoes intoxicacoes devidas drogas administradas ao feto ao recem nascido
p94;transtornos tonus muscular recem nascido
p940;miastenia grave neonatal transitoria
p941;hipertonia congenita
p942;hipotonia congenita
p948;outros transtornos tonus muscular recem nascido
p949;transtorno nao especificado tonus muscular recem nascido
p95;morte fetal causa nao especificada
p96;outras afeccoes originadas periodo perinatal
p960;insuficiencia renal congenita
p961;sintomas abstinencia neonatal drogas utilizadas pela mae
p962;sintomas abstinencia uso drogas terapeuticas recem nascido
p963;suturas cranianas amplas recem nascido
p964;interrupcao gravidez afetando feto recem nascido
p965;complicacoes procedimentos intra uterinos nao classificados outra parte
p968;outras afeccoes especificadas originadas periodo perinatal
p969;afeccoes originadas periodo perinatal nao especificadas
q00;anencefalia malformacoes similares
q000;anencefalia
q001;craniorraquisquise
q002;iniencefalia
q01;encefalocele
q010;encefalocele frontal
q011;encefalocele nasofrontal
q012;encefalocele occipital
q018;encefalocele outras localizacoes
q019;encefalocele nao especificada
q02;microcefalia
q03;hidrocefalia congenita
q030;malformacoes aqueduto sylvius
q031;atresia fendas luschka foramen magendie
q038;outra hidrocefalia congenita
q039;hidrocefalia congenita nao especificada
q04;outras malformacoes congenitas cerebro
q040;malformacoes congenitas corpo caloso
q041;arrinencefalia
q042;holoprosencefalia
q043;outras deformidades reducao encefalo
q044;displasia septo vias opticas
q045;megalencefalia
q046;cistos cerebrais congenitos
q048;outras malformacoes congenitas especificadas encefalo
q049;malformacao congenita nao especificada encefalo
q05;espinha bifida
q050;espinha bifida cervical hidrocefalia
q051;espinha bifida toracica hidrocefalia
q052;espinha bifida lombar hidrocefalia
q053;espinha bifida sacra hidrocefalia
q054;espinha bifida nao especificada hidrocefalia
q055;espinha bifida cervical sem hidrocefalia
q056;espinha bifida toracica sem hidrocefalia
q057;espinha bifida lombar sem hidrocefalia
q058;espinha bifida sacra sem hidrocefalia
q059;espinha bifida nao especificada
q06;outras malformacoes congenitas medula espinhal
q060;amielia
q061;hipoplasia displasia medula espinal
q062;diastematomielia
q063;outras malformacoes congenitas cauda equina
q064;hidromielia
q068;outras malformacoes congenitas especificadas medula espinal
q069;malformacao congenita nao especificada medula espinal
q07;outras malformacoes congenitas sistema nervoso
q070;sindrome arnold chiari
q078;outras malformacoes congenitas especificadas sistema nervoso
q079;malformacao congenita nao especificada sistema nervoso
q10;malformacoes congenitas palpebras aparelho lacrimal orbita
q100;ptose congenita
q101;ectropio congenito
q102;entropio congenito
q103;outras malformacoes congenitas palpebras
q104;ausencia agenesia aparelho lacrimal
q105;estenose estreitamento congenito canal lacrimal
q106;outras malformacoes congenitas aparelho lacrimal
q107;malformacao congenita orbita
q11;anoftalmia microftalmia macroftalmia
q110;olho cistico
q111;outras formas anoftalmia
q112;microftalmia
q113;macroftalmia
q12;malformacoes congenitas cristalino
q120;catarata congenita
q121;luxacao congenita cristalino
q122;coloboma cristalino
q123;afaquia congenita
q124;esferofaquia
q128;outras malformacoes congenitas cristalino
q129;malformacao congenita nao especificada cristalino
q13;malformacoes congenitas camara anterior olho
q130;coloboma iris
q131;ausencia iris
q132;outras malformacoes congenitas iris
q133;opacidade congenita cornea
q134;outras malformacoes congenitas cornea
q135;esclerotica azul
q138;outras malformacoes congenitas camara anterior olho
q139;malformacao congenita nao especificada camara anterior olho
q14;malformacoes congenitas camara posterior olho
q140;malformacao congenita humor vitreo
q141;malformacao congenita retina
q142;malformacao congenita disco optico
q143;malformacao congenita coroide
q148;outras malformacoes congenitas camara posterior olho
q149;malformacao congenita nao especificada camara posterior olho
q15;outras malformacoes congenitas olho
q150;glaucoma congenito
q158;outras malformacoes congenitas especificadas olho
q159;malformacao congenita nao especificada olho
q16;malformacoes congenitas ouvido causando comprometimento audicao
q160;ausencia congenita pavilhao auricular orelha
q161;ausencia atresia estreitamento congenitos conduto auditivo externo
q162;ausencia trompa eustaquio
q163;malformacao congenita ossiculos ouvido
q164;outras malformacoes congenitas ouvido medio
q165;malformacao congenita ouvido interno
q169;malformacao congenita ouvido nao especificada causando comprometimento audicao
q17;outras malformacoes congenitas orelha
q170;pavilhao supranumerario
q171;macrotia
q172;microtia
q173;outras deformidades orelha
q174;anomalia posicao orelha
q175;orelhas proeminentes
q178;outras malformacoes congenitas especificadas orelha
q179;malformacao congenita nao especificada orelha
q18;outras malformacoes congenitas face pescoco
q180;seio fistula cisto origem branquial
q181;seio fistula cisto pre auricular
q182;outras malformacoes fenda branquial
q183;pescoco alado
q184;macrostomia
q185;microstomia
q186;macroqueilia
q187;microqueilia
q188;outras malformacoes congenitas especificadas face pescoco
q189;malformacao congenita nao especificada face pescoco
q20;malformacoes congenitas camaras comunicacoes cardiacas
q200;tronco arterial comum
q201;ventriculo direito dupla via saida
q202;ventriculo esquerdo dupla via saida
q203;comunicacao ventriculo atrial discordante
q204;ventriculo dupla via entrada
q205;comunicacao atrio ventricular discordante
q206;isomerismo apendices atriais
q208;outras malformacoes congenitas camaras comunicacoes cardiacas
q209;malformacao congenita nao especificada camaras comunicacoes cardiacas
q21;malformacoes congenitas septos cardiacos
q210;comunicacao interventricular
q211;comunicacao interatrial
q212;comunicacao atrioventricular
q213;tetralogia fallot
q214;comunicacao aortopulmonar
q218;outras malformacoes congenitas septos cardiacos
q219;malformacao congenita nao especificada septo cardiaco
q22;malformacoes congenitas valvas pulmonar tricuspide
q220;atresia valva pulmonar
q221;estenose congenita valva pulmonar
q222;insuficiencia congenita valva pulmonar
q223;outras malformacoes congenitas valva pulmonar
q224;estenose congenita valva tricuspide
q225;anomalia ebstein
q226;sindrome coracao direito hipoplasico
q228;outras malformacoes congenitas valva tricuspide
q229;malformacao congenita nao especificada valva tricuspide
q23;malformacoes congenitas valvas aortica mitral
q230;estenose congenita valva aortica
q231;insuficiencia congenita valva aortica
q232;estenose mitral congenita
q233;insuficiencia mitral congenita
q234;sindrome coracao esquerdo hipoplasico
q238;outras malformacoes congenitas valvas aortica mitral
q239;malformacao congenita nao especificada valvas aortica mitral
q24;outras malformacoes congenitas coracao
q240;dextrocardia
q241;levocardia
q242;cor triatriatum
q243;estenose infundibulo pulmonar
q244;estenose subaortica congenita
q245;malformacoes vasos coronarios
q246;bloqueio congenito coracao
q248;outras malformacoes congenitas especificadas coracao
q249;malformacao nao especificada coracao
q25;malformacoes congenitas grandes arterias
q250;permeabilidade canal arterial
q251;coartacao aorta
q252;atresia aorta
q253;estenose aorta
q254;outras malformacoes congenitas aorta
q255;atresia arteria pulmonar
q256;estenose arteria pulmonar
q257;outras malformacoes congenitas arteria pulmonar
q258;outras malformacoes congenitas grandes arterias
q259;malformacao congenita nao especificada grandes arterias
q26;malformacoes congenitas grandes veias
q260;estenose congenita veia cava
q261;persistencia veia cava superior esquerda
q262;comunicacao venosa pulmonar anormal total
q263;comunicacao venosa pulmonar anormal parcial
q264;comunicacao venosa pulmonar anormal nao especificado
q265;comunicacao venosa portal anormal
q266;fistula entre veia porta arteria hepatica
q268;outras malformacoes congenitas grandes veias
q269;malformacao congenita nao especificada grande veia
q27;outras malformacoes congenitas sistema vascular periferico
q270;ausencia congenita hipoplasia arteria umbilical
q271;estenose congenita arteria renal
q272;outras malformacoes congenitas arteria renal
q273;malformacao arterio venosa periferica
q274;ectasia venosa flebectasia congenita
q278;outras malformacoes congenitas especificadas sistema vascular periferico
q279;malformacao congenita nao especificada sistema vascular periferico
q28;outras malformacoes congenitas aparelho circulatorio
q280;malformacao arteriovenosa vasos pre cerebrais
q281;outras malformacoes vasos pre cerebrais
q282;malformacao arteriovenosa vasos cerebrais
q283;outras malformacoes vasos cerebrais
q288;outras malformacoes congenitas especificadas aparelho circulatorio
q289;malformacao congenita nao especificada aparelho circulatorio
q30;malformacao congenita nariz
q300;atresia coanas
q301;agenesia hipoplasia nariz
q302;fissura entalhe fenda nasal
q303;perfuracao congenita septo nasal
q308;outras malformacoes congenitas nariz
q309;malformacao congenita nao especificada nariz
q31;malformacoes congenitas laringe
q310;pterigio laringe
q311;estenose subglotica congenita
q312;hipoplasia laringe
q313;laringocele
q315;laringomalacia congenita
q318;outras malformacoes congenitas laringe
q319;malformacao congenita nao especificada laringe
q32;malformacoes congenitas traqueia bronquios
q320;traqueomalacia congenita
q321;outras malformacoes congenitas traqueia
q322;broncomalacia congenita
q323;estenose congenita bronquios
q324;outras malformacoes congenitas bronquios
q33;malformacoes congenitas pulmao
q330;pulmao cistico congenito
q331;lobo pulmonar supranumerario
q332;sequestro pulmonar
q333;agenesia pulmao
q334;bronquectasia congenita
q335;tecido ectopico intrapulmonar
q336;hipoplasia displasia pulmao
q338;outras malformacoes congenitas pulmao
q339;malformacao congenita nao especificada pulmao
q34;outras malformacoes congenitas aparelho respiratorio
q340;anomalia pleura
q341;cisto congenito mediastino
q348;outras malformacoes congenitas especificadas aparelho respiratorio
q349;malformacao congenita nao especificada aparelho respiratorio
q35;fenda palatina
q351;fenda palato duro
q353;fenda palato mole
q355;fenda palato duro fenda palato mole
q357;fenda uvula
q359;fenda palatina nao especificada
q36;fenda labial
q360;fenda labial bilateral
q361;fenda labial mediana
q369;fenda labial unilateral
q37;fenda labial fenda palatina
q370;fenda palato duro fenda labial bilateral
q371;fenda palato duro fenda labial unilateral
q372;fenda palato mole fenda labial bilateral
q373;fenda palato mole fenda labial unilateral
q374;fenda palatos duro mole fenda labial bilateral
q375;fenda palatos duro mole fenda labial unilateral
q378;fenda palato fenda labial bilateral nao especificada
q379;fenda palato fenda labial unilateral nao especificada
q38;outras malformacoes congenitas lingua boca faringe
q380;malformacoes congenitas labios nao classificadas outra parte
q381;anquiloglossia
q382;macroglossia
q383;outras malformacoes congenitas lingua
q384;malformacoes congenitas glandulas dutos salivares
q385;malformacoes congenitas palato nao classificadas outra parte
q386;outras malformacoes congenitas boca
q387;bolsa faringea
q388;outras malformacoes congenitas faringe
q39;malformacoes congenitas esofago
q390;atresia esofago sem fistula
q391;atresia esofago fistula traqueoesofagica
q392;fistula traqueoesofagica congenita sem atresia
q393;estenose congenita estreitamento congenito esofago
q394;pterigio esofago
q395;dilatacao congenita esofago
q396;diverticulo esofago
q398;outras malformacoes congenitas esofago
q399;malformacao congenita nao especificada esofago
q40;outras malformacoes congenitas trato digestivo superior
q400;estenose hipertrofica congenita piloro
q401;hernia congenita hiato
q402;outras malformacoes congenitas especificadas estomago
q403;malformacao congenita nao especificada estomago
q408;outras malformacoes congenitas especificadas trato digestivo superior
q409;malformacao congenita nao especificada trato digestivo superior
q41;ausencia atresia estenose congenita intestino delgado
q410;ausencia atresia estenose congenita duodeno
q411;ausencia atresia estenose congenita jejuno
q412;ausencia atresia estenose congenita ileo
q418;ausencia atresia estenose congenita outras partes especificadas intestino delgado
q419;ausencia atresia estenose congenita intestino delgado sem especificacao localizacao
q42;ausencia atresia estenose congenita colon
q420;ausencia atresia estenose congenita reto fistula
q421;ausencia atresia estenose congenita reto sem fistula
q422;ausencia atresia estenose congenita anus fistula
q423;ausencia atresia estenose congenita anus sem fistula
q428;ausencia atresia estenose congenita outras partes colon intestino grosso
q429;ausencia atresia estenose congenita partes nao especificadas colon intestino grosso
q43;outras malformacoes congenitas intestino
q430;diverticulo meckel
q431;doenca hirschsprung
q432;outros transtornos funcionais congenitos colon
q433;malformacoes congenitas fixacao intestino
q434;duplicacao intestino
q435;anus ectopico
q436;fistula congenita reto anus
q437;persistencia cloaca
q438;outras malformacoes congenitas especificadas intestino
q439;malformacao congenita nao especificada intestino
q44;malformacoes congenitas vesicula biliar vias biliares figado
q440;agenesia aplasia hipoplasia vesicula biliar
q441;outras malformacoes congenitas vesicula biliar
q442;atresia vias biliares
q443;estenose estreitamento congenitos vias biliares
q444;cisto coledoco
q445;outras malformacoes congenitas vias biliares
q446;doenca cistica figado
q447;outras malformacoes congenitas figado
q45;outras malformacoes congenitas aparelho digestivo
q450;agenesia aplasia hipoplasia pancreas
q451;pancreas anular
q452;cisto pancreatico congenito
q453;outras malformacoes congenitas pancreas duto pancreatico
q458;outras malformacoes congenitas especificadas aparelho digestivo
q459;malformacao congenita nao especificada aparelho digestivo
q50;malformacoes congenitas ovarios trompas falopio ligamentos largos
q500;ausencia congenita ovarios
q501;cisto ovariano desenvolvimento
q502;torsao congenita ovario
q503;outras malformacoes congenitas ovario
q504;cisto embrionario trompa falopio
q505;cisto embrionario ligamento largo
q506;outras malformacoes congenitas trompas falopio ligamentos largos
q51;malformacoes congenitas utero colo utero
q510;agenesia aplasia utero
q511;utero duplo duplicacao colo uterino vagina
q512;outra duplicacao utero
q513;utero bicorneo
q514;utero unicorneo
q515;agenesia aplasia colo utero
q516;cisto embrionario colo utero
q517;fistula congenita utero digestiva utero urinaria
q518;outras malformacoes congenitas utero colo utero
q519;malformacao congenita nao especificada utero colo utero soe
q52;outras malformacoes congenitas orgaos genitais femininos
q520;ausencia congenita vagina
q521;duplicacao vagina
q522;fistula reto vaginal congenita
q523;imperfuracao himen
q524;outras malformacoes congenitas vagina
q525;fusao labios vulvares
q526;malformacao congenita clitoris
q527;outras malformacoes congenitas vulva
q528;outras malformacoes congenitas especificadas orgaos genitais femininos
q529;malformacao congenita nao especificada orgaos genitais femininos
q53;testiculo nao descido
q530;testiculo ectopico
q531;testiculo nao descido unilateral
q532;testiculo nao descido bilateral
q539;testiculo nao descido nao especificado
q54;hipospadias
q540;hipospadia balanica
q541;hipospadia peniana
q542;hipospadia penoscrotal
q543;hipospadia perineal
q544;corda venerea congenita
q548;outras hipospadias
q549;hipospadia nao especificada
q55;outras malformacoes congenitas orgaos genitais masculinos
q550;ausencia aplasia testiculo
q551;hipoplasia testiculos escroto
q552;outras malformacoes congenitas testiculos escroto
q553;atresia canal deferente
q554;outras malformacoes congenitas canal deferente epididimo vesiculas seminais prostata
q555;ausencia aplasia congenitas penis
q556;outras malformacoes congenitas penis
q558;outras malformacoes congenitas especificadas orgaos genitais masculinos
q559;malformacao congenita nao especificada orgaos genitais masculinos
q56;sexo indeterminado pseudo hermafroditismo
q560;hermafroditismo nao classificado outra parte
q561;pseudo hermafroditismo masculino nao classificado outra parte
q562;pseudo hermafroditismo feminino nao classificado outra parte
q563;pseudo hermafroditismo nao especificado
q564;sexo indeterminado nao especificado
q60;agenesia renal outros defeitos reducao rim
q600;agenesia unilateral rim
q601;agenesia bilateral rim
q602;agenesia renal nao especificada
q603;hipoplasia renal unilateral
q604;hipoplasia renal bilateral
q605;hipoplasia renal nao especificada
q606;sindrome potter
q61;doencas cisticas rim
q610;cisto congenito unico rim
q611;rim policistico autossomico recessivo
q612;rim policistico autossomico dominante
q613;rim policistico nao especificado
q614;displasia renal
q615;cisto medular rim
q618;outras doencas cisticas rim
q619;doenca cistica nao especificada rim
q62;anomalias congenitas obstrutivas pelve renal malformacoes congenitas ureter
q620;hidronefrose congenita
q621;atresia estenose ureter
q622;megaureter congenito
q623;outras anomalias obstrutivas pelve renal ureter
q624;agenesia ureter
q625;duplicacao ureter
q626;ma posicao ureter
q627;refluxo vesico uretero renal congenito
q628;outras malformacoes congenitas ureter
q63;outras malformacoes congenitas rim
q630;rim supranumerario
q631;rim lobulado fundido ferradura
q632;rim ectopico
q633;rim hiperplasico gigante
q638;outras malformacoes congenitas especificadas rim
q639;malformacao congenita nao especificada rim
q64;outras malformacoes congenitas aparelho urinario
q640;epispadias
q641;extrofia vesical
q642;valvulas uretrais posteriores congenitas
q643;outras formas atresia estenose uretra colo bexiga
q644;malformacao uraco
q645;ausencia congenita bexiga uretra
q646;diverticulo congenito bexiga
q647;outras malformacoes congenitas bexiga uretra
q648;outras malformacoes congenitas especificadas aparelho urinario
q649;malformacao congenita nao especificada aparelho urinario
q65;malformacoes congenitas quadril
q650;luxacao congenita unilateral quadril
q651;luxacao congenita bilateral quadril
q652;luxacao congenita nao especificada quadril
q653;subluxacao congenita unilateral quadril
q654;subluxacao congenita bilateral quadril
q655;subluxacao congenita nao especificada quadril
q656;quadril instavel
q658;outras deformidades congenitas quadril
q659;deformidade congenita nao especificada quadril
q66;deformidades congenitas pe
q660;pe torto equinovaro
q661;pe torto calcaneovaro
q662;metatarso varo
q663;outras deformidades congenitas pes varo
q664;pe torto calcaneovalgo
q665;pe chato congenito
q666;outras deformidades congenitas pes valgo
q667;pe cavo
q668;outras deformidades congenitas pe
q669;deformidade congenita nao especificada pe
q67;deformidades osteomusculares congenitas cabeca face coluna torax
q670;assimetria facial
q671;deformidade facial compressao
q672;dolicocefalia
q673;plagiocefalia
q674;outras deformidades congenitas cranio face mandibula
q675;deformidades congenitas coluna vertebral
q676;torax escavado
q677;torax carinado
q678;outras deformidades congenitas torax
q68;outras deformidades osteomusculares congenitas
q680;deformidade congenita musculo esternocleidomastoideu
q681;deformidade congenita mao
q682;deformidade congenita joelho
q683;encurvamento congenito femur
q684;encurvamento congenito tibia peronio fibula
q685;encurvamento congenito ossos longos nao especificados membro inferior
q688;outras deformidades osteomusculares congenitas
q69;polidactilia
q690;dedos mao supranumerarios
q691;polegares supranumerarios
q692;artelhos supranumerarios
q699;polidactilia nao especificada
q70;sindactilia
q700;coalescencia dedos dedos mao fundidos
q701;dedos palmados
q702;coalescencia artelhos artelhos fundidos
q703;artelhos palmados
q704;polissindactilia
q709;sindactilia nao especificada
q71;defeitos reducao membro superior
q710;ausencia congenita completa membros superiores
q711;ausencia congenita braco antebraco mao presente
q712;ausencia congenita antebraco mao
q713;ausencia congenita mao dedos
q714;defeito reducao longitudinal radio
q715;defeito reducao longitudinal cubito ulna
q716;mao garra lagosta
q718;outros defeitos reducao membro superior
q719;defeito reducao membro superior nao especificado
q72;defeitos reducao membro inferior
q720;ausencia congenita completa membros inferiores
q721;ausencia congenita coxa perna pe presente
q722;ausencia congenita perna pe
q723;ausencia congenita pe artelhos
q724;defeito reducao longitudinal tibia
q725;defeito reducao longitudinal tibia
q726;defeito reducao longitudinal peronio fibula
q727;pe bifido
q728;outros defeitos reducao membros inferiores
q729;defeito nao especificado reducao membro inferior
q73;defeitos reducao membro nao especificado
q730;ausencia congenita membros nao especificados
q731;focomelia membros nao especificados
q738;outros defeitos reducao membros nao especificados
q74;outras malformacoes congenitas membros
q740;outras malformacoes congenitas membros superiores inclusive cintura escapular
q741;malformacao congenita joelho
q742;outras malformacoes congenitas membros inferiores inclusive cintura pelvica
q743;artrogripose congenita multipla
q748;outras malformacoes congenitas especificadas membros
q749;malformacoes congenitas nao especificadas membros
q75;outras malformacoes congenitas ossos cranio face
q750;craniossinostose
q751;disostose craniofacial
q752;hipertelorismo
q753;macrocefalia
q754;disostose mandibulo facial
q755;disostose oculo mandibular
q758;outras malformacoes congenitas especificadas ossos cranio face
q759;malformacao congenita nao especificada ossos cranio face
q76;malformacoes congenitas coluna vertebral ossos torax
q760;espinha bifida oculta
q761;sindrome klippel feil
q762;espondilolistese congenita
q763;escoliose congenita devida malformacao ossea congenita
q764;outras malformacoes congenitas coluna vertebral nao associadas escoliose
q765;costela cervical
q766;outras malformacoes congenitas costelas
q767;malformacao congenita esterno
q768;outras malformacoes congenitas ossos torax
q769;malformacao congenita nao especificada ossos torax
q77;osteocondrodisplasia anomalias crescimento ossos longos coluna vertebral
q770;acondrogenesia
q771;nanismo tanatoforico
q772;sindrome costelas curtas
q773;condrodisplasia puntacta
q774;acondroplasia
q775;displasia diastrofica
q776;displasia condroectodermica
q777;displasia espondiloepifisaria
q778;outras osteocondrodisplasias anomalias crescimento ossos longos coluna vertebral
q779;osteocondrodisplasia nao especificada anomalias crescimento ossos longos coluna vertebral
q78;outras osteocondrodisplasias
q780;osteogenese imperfeita
q781;displasia poliostotica fibrosa
q782;osteopetrose
q783;displasia diafisaria progressiva
q784;encondromatose
q785;displasia metafisaria
q786;exostoses congenitas multiplas
q788;outras osteocondrodisplasias especificadas
q789;osteocondrodisplasia nao especificada
q79;malformacoes congenitas sistema osteomuscular nao classificadas outra parte
q790;hernia diafragmatica congenita
q791;outras malformacoes congenitas diafragma
q792;exonfalia
q793;gastrosquise
q794;sindrome abdome ameixa seca prune belly syndrome
q795;outras malformacoes congenitas parede abdominal
q796;sindrome ehlers danlos
q798;outras malformacoes congenitas sistema osteomuscular
q799;malformacao congenita nao especificada sistema osteomuscular
q80;ictiose congenita
q800;ictiose vulgar
q801;ictiose ligada ao cromossomo x
q802;ictiose lamelar
q803;eritrodermia ictiosiforme bulhosa congenita
q804;feto arlequim
q808;outras ictioses congenitas
q809;ictiose congenita nao especificada
q81;epidermolise bolhosa
q810;epidermolise bolhosa simples
q811;epidermolise bolhosa letal
q812;epidermolise bolhosa distrofica
q818;outras epidermolises bolhosas
q819;epidermolise bolhosa nao especificada
q82;outras malformacoes congenitas pele
q820;linfedema hereditario
q821;xeroderma pigmentoso
q822;mastocitose
q823;incontinentia pigmenti
q824;displasia ectodermica anidrotica
q825;nevo nao neoplasico congenito
q828;outras malformacoes congenitas especificadas pele
q829;malformacao congenita nao especificada pele
q83;malformacoes congenitas mama
q830;ausencia congenita mama ausencia mamilo
q831;mama supranumeraria
q832;ausencia mamilo
q833;mamilo acessorio
q838;outras malformacoes congenitas mama
q839;malformacao congenita nao especificada mama
q84;outras malformacoes congenitas tegumento
q840;alopecia congenita
q841;alteracoes morfologicas congenitas cabelos nao classificadas outra parte
q842;outras malformacoes congenitas cabelos
q843;anoniquia
q844;leuconiquia congenita
q845;hipertrofia alargamento unhas
q846;outras malformacoes congenitas unhas
q848;outras malformacoes congenitas especificadas tegumento
q849;malformacao congenita nao especificada tegumento
q85;facomatoses nao classificadas outra parte
q850;neurofibromatose nao maligna
q851;esclerose tuberosa
q858;outras facomatoses nao classificadas outra parte
q859;facomatose nao especificada
q86;sindromes malformacoes congenitas devidas causas exogenas conhecidas nao classificadas outra parte
q860;sindrome fetal alcoolico dismorfico
q861;sindrome fetal devida hidantoina
q862;dismorfismo devido ao warfarin
q868;outras sindromes malformacoes congenitas devidas causas exogenas conhecidas
q87;outras sindromes malformacoes congenitas acometem multiplos sistemas
q870;sindromes malformacoes congenitas afetando predominantemente aspecto face
q871;sindromes malformacoes congenitas associadas predominantemente nanismo
q872;sindromes malformacoes congenitas afetando predominantemente membros
q873;sindromes malformacoes congenitas hipercrescimento precoce
q874;sindrome marfan
q875;outras sindromes malformacoes congenitas outras alteracoes esqueleto
q878;outras sindromes malformacoes congenitas especificadas nao classificadas outra parte
q89;outras malformacoes congenitas nao classificadas outra parte
q890;malformacoes congenitas baco
q891;malformacoes congenitas supra renais
q892;malformacoes congenitas outras glandulas endocrinas
q893;situs inversus
q894;reuniao gemeos
q897;malformacoes congenitas multiplas nao classificadas outra parte
q898;outras malformacoes congenitas especificadas
q899;malformacoes congenitas nao especificadas
q90;sindrome down
q900;trissomia 21 nao disjuncao meiotica
q901;trissomia 21 mosaicismo nao disjuncao mitotica
q902;trissomia 21 translocacao
q909;sindrome down nao especificada
q91;sindrome edwards sindrome patau
q910;trissomia 18 nao disjuncao meiotica
q911;trissomia 18 mosaicismo cromossomico nao disjuncao mitotica
q912;trissomia 18 translocacao
q913;sindrome edwards nao especificada
q914;trissomia 13 nao disjuncao meiotica
q915;trissomia 13 mosaicismo cromossomico nao disjuncao mitotica
q916;trissomia 13 translocacao
q917;sindrome patau nao especificada
q92;outras trissomias trissomias parciais autossomos nao classificadas outra parte
q920;trissomia um cromossomo inteiro nao disjuncao meiotica
q921;trissomia um cromossomo inteiro mosaicismo cromossomico nao disjuncao mitotica
q922;trissomia parcial major
q923;trissomia parcial minor
q924;duplicacoes vistas somente prometafase
q925;duplicacao outros rearranjos complexos
q926;cromossomos marcadores suplementares
q927;triploidia poliploidia
q928;outras trissomias especificadas trissomias parciais autossomos
q929;trissomia trissomia parcial nao especificada autossomos
q93;monossomias delecoes autossomos nao classificadas outra parte
q930;monossomia cromossomo inteiro nao disjuncao meiotica
q931;monossomia cromossomo inteiro mosaicismo cromossomico nao disjuncao mitotica
q932;cromossomo substituido anel dicentrico
q933;delecao braco curto cromossomo 4
q934;delecao braco curto cromossomo 5
q935;outras delecoes parciais cromossomo
q936;delecoes vistas somente prometafase
q937;delecoes outros rearranjos complexos
q938;outras delecoes autossomos
q939;delecoes nao especificadas autossomos
q95;rearranjos equilibrados marcadores estruturais nao classificados outra parte
q950;translocacao insercao equilibrada sujeito normal
q951;inversao cromossomica sujeito normal
q952;rearranjo autossomico equilibrado sujeito anormal
q953;rearranjo sexual/autossomico equilibrado sujeito anormal
q954;sujeito marcador heterocromatina
q955;sujeito sitio autossomico fragil
q958;outros rearranjos marcadores equilibrados
q959;rearranjos marcadores equilibrados nao especificados
q96;sindrome turner
q960;cariotipo 45 x
q961;cariotipo 46 x iso xq
q962;cariotipo 46 x cromossomo sexual anormal salvo iso xq
q963;mosaicismo cromossomico 45 x/46 xx xy
q964;mosaicismo cromossomico 45 x/outras linhagens celulares cromossomo sexual anormal
q968;outras variantes sindrome turner
q969;sindrome turner nao especificada
q97;outras anomalias cromossomos sexuais fenotipo feminino nao classificadas outra parte
q970;cariotipo 47 xxx
q971;mulher mais tres cromossomos x
q972;mosaicismo cromossomico linhagens diversos numeros cromossomos x
q973;mulher cariotipo 46 xy
q978;outras anomalias especificadas cromossomos sexuais fenotipo feminino
q979;anomalias nao especificadas cromossomos sexuais fenotipo feminino
q98;outras anomalias cromossomos sexuais fenotipo masculino nao classificadas outra parte
q980;sindrome klinefelter cariotipo 47 xxy
q981;sindrome klinefelter homem mais dois cromossomos x
q982;sindrome klinefelter homem cariotipo 46 xx
q983;outro homem cariotipo 46 xx
q984;sindrome klinefelter nao especificada
q985;cariotipo 47 xyy
q986;homem cromossomos sexuais estrutura anormal
q987;homem mosaicismo cromossomos sexuais
q988;outras anomalias especificadas cromossomos sexuais fenotipo masculino
q989;anomalias nao especificadas cromossomos sexuais fenotipo masculino
q99;outras anomalias cromossomos nao classificadas outra parte
q990;quimera 46 xx/46 xy
q991;hermafrodite verdadeiro 46 xx
q992;cromossomo x fragil
